Concept,ImageNet IDs,ImageNet classes,Features
train,466,bullet train bullet,"has_a_caboose, has_an_engine, has_many_cars, has_wheels, is_fast, is_loud, made_of_metal, requires_a_conductor, requires_coal, requires_engineers, used_for_freight, used_for_passengers, used_for_transportation, used_for_travel, used_on_rail_tracks"
tray,868,tray,"found_in_cafeterias, is_flat, is_rectangular, is_round, is_square, made_of_metal, made_of_plastic, used_by_waitresses, used_for_carrying_drinks, used_for_carrying_things, used_for_food, used_for_holding_things"
tricycle,870,tricycle trike velocipede,"a_bike, a_vehicle, has_3_wheels, has_a_seat, has_handle_bars, has_pedals, has_wheels, is_fun, is_red, is_slow, is_small, made_of_metal, used_by_children, used_by_riding, used_for_riding_on_sidewalks, used_for_transportation, used_in_summer"
tripod,872,tripod,"has_3_legs, is_adjustable, made_of_metal, used_by_photographers, used_for_holding_cameras, used_for_stability"
trolley,"829, 874","streetcar tram tramcar trolley trolley car, trolleybus trolley coach trackless trolley","has_wheels, is_large, is_small, made_of_metal, used_for_carrying_things, used_for_moving_things, used_for_transportation, used_on_tracks"
trombone,875,trombone,"a_musical_instrument, has_a_mouth-piece, has_a_slide_valve, inbeh_-_produces_music, is_gold, is_large, is_long, is_loud, made_of_brass, used_by_blowing_air_through, used_by_people, used_in_bands, used_in_orchestras"
trousers,,,"a_pants, clothing, different_colours, has_2_legs, has_buttons, has_cuffs, has_legs, has_pockets, has_zippers, is_comfortable, is_fashionable, made_of_material, made_of_wool, worn_by_men, worn_for_covering, worn_for_covering_legs, worn_for_warmth, worn_with_belts, worn_with_suspenders"
trout,,,"a_fish, an_animal, beh_-_lays_eggs, beh_-_swims, eaten_by_catching, has_a_tail, has_fins, has_gills, has_scales, is_edible, is_smelly, lives_in_lakes, lives_in_water, tastes_good"
truck,"555, 569, 717, 864, 867","fire engine fire truck, garbage truck dustcart, pickup pickup truck, tow truck tow car wrecker, trailer truck tractor trailer trucking rig rig articulated lorry semi","a_vehicle, eg_-_dump, has_>_4_wheels, has_18_wheels, has_4_wheels, has_an_engine, has_wheels, is_heavy, is_large, requires_drivers, requires_gasoline, used_for_cargo, used_for_transportation"
trumpet,513,cornet horn trumpet trump,"a_musical_instrument, has_3_valves, has_a_mouth-piece, has_valves, is_gold, is_loud, is_shiny, made_of_brass, made_of_metal, used_by_blowing_air_through, used_for_music, used_in_bands, used_in_orchestras"
tuba,,,"a_musical_instrument, inbeh_-_produces_noise, inbeh_-_produces_sound, is_gold, is_heavy, is_large, is_loud, made_of_brass, made_of_gold, made_of_metal, used_by_blowing_air_through, used_in_bands, used_in_orchestras"
tuna,,,"a_fish, beh_-_swims, comes_in_cans, eaten_in_sandwiches, has_fins, has_gills, hunted_by_people, is_caught_in_nets, is_edible, is_large, is_smelly, lives_in_oceans, lives_in_water, tastes_good"
turkey,,,"a_bird, a_poultry, an_animal, beh_-_cannot_fly, beh_-_eats, beh_-_gobbles, eaten_as_meat, eaten_at_Christmas, eaten_at_Thanksgiving, eaten_by_stuffing, eaten_with_gravy, eaten_with_stuffing, has_feathers, has_wings, is_domestic, is_edible, is_large, lives_on_farms"
turnip,,,"a_vegetable, eaten_by_cooking, grows_in_gardens, grows_in_the_ground, is_crunchy, is_edible, is_round, is_white, tastes_bad"
turtle,"33, 34, 35, 37","loggerhead loggerhead turtle Caretta caretta, leatherback turtle leatherback leathery turtle Dermochelys coriacea, mud turtle, box turtle box tortoise","a_pet, a_reptile, an_amphibian, an_animal, beh_-_lays_eggs, beh_-_swims, beh_-_walks_slowly, beh_-_will_snap_at_people, has_4_legs, has_a_head, has_a_shell, has_legs, is_green, is_hard, is_slow, is_small, lives_in_water, lives_on_land"
typewriter,878,typewriter keyboard,"a_machine, found_in_offices, has_a_bell, has_keys, has_letters, has_numbers, inbeh_-_produces_noise, is_electronic, is_heavy, like_a_computer, made_of_metal, requires_ink, requires_paper, used_for_typing, used_for_writing_letters, used_long_ago"
umbrella,879,umbrella,"different_colours, has_a_handle, is_large, is_round, is_waterproof, made_of_metal, made_of_nylon, made_of_plastic, used_for_keeping_dry, used_for_protection, used_for_the_rain"
unicycle,880,unicycle monocycle,"a_bike, has_1_wheel, has_a_seat, has_pedals, requires_balance, requires_skill, used_by_clowns, used_for_transportation, used_in_circuses"
urn,,,"found_at_funerals, is_decorative, is_round, made_of_metal, symbol_of_death, used_for_ashes, used_for_holding_things"
van,675,moving van,"a_truck, a_vehicle, has_4_wheels, has_an_engine, has_doors, has_sliding_doors, has_wheels, is_box_shaped, is_large, is_spacious, requires_gasoline, used_for_cargo, used_for_moving_things, used_for_passengers, used_for_transportation"
veil,,,"a_hat, is_black, is_transparent, is_white, made_of_lace, worn_by_brides, worn_by_women, worn_for_covering_faces, worn_for_funerals, worn_for_weddings"
vest,465,bulletproof vest,"clothing, different_colours, has_a_zipper, has_buttons, has_no_sleeves, is_bulletproof, is_fashionable, made_of_different_fabrics, worn_for_keeping_warm, worn_over_clothes"
vine,,,"a_plant, grows_on_houses, has_grapes, has_leaves, is_green, is_long, used_for_swinging, used_for_wine"
violin,,,"a_musical_instrument, has_a_bow, has_a_case, has_a_chin_rest, has_strings, inbeh_-_produces_music, is_brown, made_of_wood, used_for_classical_music, used_in_orchestras, used_in_symphonies"
vulture,23,vulture,"a_bird, a_scavenger, an_animal, beh_-_eats, beh_-_eats_dead_flesh, beh_-_flies, beh_-_lays_eggs, has_a_beak, has_a_large_beak, has_claws, has_feathers, has_talons, has_wings, is_bald, is_large, is_ugly, lives_in_deserts, symbol_of_death"
wagon,,,"a_toy, has_4_wheels, has_a_covering, has_a_handle, has_wheels, is_red, made_of_metal, made_of_wood, used_by_children, used_by_pulling, used_by_pulling_by_horses, used_for_cargo, used_for_transportation, used_in_the_wild_west"
wall,825,stone wall,"a_barrier, found_in_houses, found_in_rooms, is_flat, is_solid, made_of_brick, made_of_cement, made_of_drywall, made_of_wood, requires_painting, used_for_holding_pictures, used_for_protection, used_for_separating, used_for_support"
walnut,,,"a_food, a_nut, eaten_by_baking, eaten_by_people, grows_on_trees, has_a_shell, is_brown, is_crunchy, is_edible, is_hard, is_small"
walrus,,,"a_mammal, an_animal, beh_-_swims, has_large_teeth, has_large_tusks, has_teeth, has_tusks, has_whiskers, hunted_by_people, is_fat, is_grey, is_large, lives_in_water, lives_near_water"
wand,,,"a_stick, is_black, is_long, is_magical, is_round, used_by_fairies, used_by_magicians, used_by_waving, used_by_witches, used_for_magic"
wasp,,,"a_bug, an_insect, beh_-_builds_nests, beh_-_buzzes, beh_-_flies, beh_-_stings, found_in_summer, has_a_stinger, has_wings, is_annoying, is_black, is_dangerous, is_small, is_yellow, like_a_bee, lives_in_a_nest"
whale,"147, 148","grey whale gray whale devilfish Eschrichtius gibbosus Eschrichtius robustus, killer whale killer orca grampus sea wolf Orcinus orca","a_mammal, an_animal, beh_-_breathes, beh_-_eats, beh_-_spouts_water, beh_-_swims, has_blubber, hunted_by_people, is_endangered, is_large, lives_in_oceans, lives_in_water"
wheel,"479, 694, 739","car wheel, paddlewheel paddle wheel, potter's wheel","has_rims, has_spokes, inbeh_-_rolls, is_invented, is_round, made_of_metal, made_of_rubber, used_for_mobility, used_on_bicycles, used_on_cars"
wheelbarrow,428,barrow garden cart lawn cart wheelbarrow,"has_1_wheel, has_2_handles, has_2_wheels, has_a_bin, has_handles, has_wheels, is_useful, made_of_metal, made_of_wood, used_for_carrying_things, used_for_construction, used_for_holding_things, used_for_moving_things, used_for_transportation"
whip,,,"a_weapon, associated_with_training, has_a_handle, inbeh_-_produces_noise, is_black, is_long, is_thin, made_of_leather, used_for_inflicting_pain, used_for_sex, used_for_torture, used_on_animals, used_on_horses, used_on_lions"
whistle,902,whistle,"has_a_ball_inside, inbeh_-_makes_high_pitched_noise, inbeh_-_produces_loud_noise, inbeh_-_produces_noise, is_loud, is_small, made_of_metal, made_of_plastic, used_by_blowing_air_through, used_by_lifeguards, used_by_the_police, used_for_alerting, used_for_sports, used_in_games"
willow,,,"a_tree, beh_-_branches_droop_down, eg_weeping, has_bark, has_branches, has_leaves, is_brown, is_green, is_large, is_long"
woodpecker,,,"a_bird, an_animal, beh_-_eats, beh_-_eats_insects, beh_-_flies, beh_-_lays_eggs, beh_-_makes_loud_noises, beh_-_puts_holes_in_trees, found_in_cartoons, has_a_long_beak, has_a_strong_beak, has_feathers, has_wings, is_loud, lives_in_trees"
worm,,,"beh_-_crawls, beh_-_slithers, beh_-_wiggles, eaten_by_birds, is_brown, is_long, is_slimy, is_small, lives_in_dirt, lives_in_ground, used_for_fishing"
wrench,,,"a_tool, different_sizes, found_in_toolboxes, has_a_handle, is_adjustable, is_heavy, made_of_metal, used_for_loosening, used_for_loosening_bolts, used_for_plumbing, used_for_tightening, used_for_tightening_bolts, used_for_tightening_nuts, used_for_turning"
yacht,,,"a_boat, has_an_engine, has_sails, is_expensive, is_large, is_luxurious, requires_crews, used_by_rich_people, used_for_cruising, used_for_recreation, used_for_sailing, used_for_transportation, used_on_oceans, used_on_water"
yam,,,"a_vegetable, eaten_by_cooking, grows_in_the_ground, is_edible, is_orange, like_a_potato, tastes_sweet"
zebra,340,zebra,"a_horse, a_mammal, an_animal, beh_-_runs_fast, beh_-_travels_in_herds, eaten_by_lions, has_4_legs, has_a_mane, has_a_tail, has_hooves, has_stripes, hunted_by_people, is_black, is_white, lives_in_Africa, lives_in_zoos"
zucchini,939,zucchini courgette,"a_vegetable, eaten_by_cooking, eaten_by_frying, eaten_in_breads, eaten_raw, has_a_green_outside, has_an_inside, has_an_outside, has_seeds, is_green, is_long, is_nutritious, is_white_inside, like_a_cucumber, tastes_good"
